2025-05-30 06:31:58,339 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:58,339 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:58,340 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:58,341 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:58,341 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:58,342 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:58,342 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:58,343 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:58,343 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:58,344 - WARNING - CropBox missing from /Page, defaulting to MediaBox
